# Multilingual Google Product Taxonomy
# Generated from monolingual files with wikidata mappings
# Format: ID | hierarchy_depth | wikidata_uri | language_code:category_name | ...

1 | 1 | http://www.wikidata.org/entity/Q116957923 | cs-CZ:Chovatelství | da-DK:Dyr og tilbehør til kæledyr | de-CH:Tiere & Tierbedarf | de-DE:Tiere & Tierbedarf | en-AU:Animals & Pet Supplies | en-GB:Animals & Pet Supplies | en-US:Animals & Pet Supplies | es-ES:Productos para mascotas y animales | fr-CH:Animaux et articles pour animaux de compagnie | fr-FR:Animaux et articles pour animaux de compagnie | it-IT:Articoli per animali | ja-JP:ペット・ペット用品 | nl-NL:Dieren | no-NO:Dyr og kjæledyrutstyr | pl-PL:Zwierzęta i artykuły dla zwierząt | pt-BR:Animais e suprimentos para animais de estimação | ru-RU:Животные и товары для питомцев | sv-SE:Djur och tillbehör till husdjur | tr-TR:Hayvanlar ve Evcil Hayvan Ürünleri
632 | 1 | http://www.wikidata.org/entity/Q115922189 | cs-CZ:Kutilství a řemeslo | da-DK:Isenkram | de-CH:Heimwerkerbedarf | de-DE:Heimwerkerbedarf | en-AU:Hardware | en-GB:Hardware | en-US:Hardware | es-ES:Bricolaje | fr-CH:Quincaillerie | fr-FR:Quincaillerie | it-IT:Articoli di ferramenta | ja-JP:DIY用品 | nl-NL:Bouwmaterialen | no-NO:Jernvare | pl-PL:Sprzęt | pt-BR:Ferragens | ru-RU:Оборудование и технические изделия | sv-SE:Metallprodukter | tr-TR:Hırdavat
772 | 1 | http://www.wikidata.org/entity/Q115921371 | cs-CZ:Pro dospělé | da-DK:Voksne | de-CH:Für Erwachsene | de-DE:Für Erwachsene | en-AU:Mature | en-GB:Mature | en-US:Mature | es-ES:Productos para adultos | fr-CH:Adulte | fr-FR:Adulte | it-IT:Articoli per adulti | ja-JP:成人向け | nl-NL:Volwassenen | no-NO:Voksne | pl-PL:Artykuły dla dorosłych | pt-BR:Adultos | ru-RU:Товары для взрослых | sv-SE:Avsett för vuxna | tr-TR:Yetişkinlere Yönelik Ürünler
783 | 1 | http://www.wikidata.org/entity/Q117208263 | cs-CZ:Média | da-DK:Medier | de-CH:Medien | de-DE:Medien | en-AU:Media | en-GB:Media | en-US:Media | es-ES:Multimedia | fr-CH:Médias | fr-FR:Médias | it-IT:Media | ja-JP:メディア | nl-NL:Media | no-NO:Media | pl-PL:Media | pt-BR:Mídia | ru-RU:Средства информации | sv-SE:Media | tr-TR:Medya
888 | 1 | http://www.wikidata.org/entity/Q117209155 | cs-CZ:Vozidla a náhradní díly | da-DK:Køretøjer og dele | de-CH:Fahrzeuge & Teile | de-DE:Fahrzeuge & Teile | en-AU:Vehicles & Parts | en-GB:Vehicles & Parts | en-US:Vehicles & Parts | es-ES:Vehículos y recambios | fr-CH:Véhicules et accessoires | fr-FR:Véhicules et accessoires | it-IT:Veicoli e parti | ja-JP:乗り物・パーツ | nl-NL:Voertuigen en onderdelen | no-NO:Kjøretøy og deler | pl-PL:Pojazdy i części | pt-BR:Veículos e peças | ru-RU:Транспортные средства и запчасти | sv-SE:Fordon och delar | tr-TR:Taşıtlar ve Parçalar
922 | 1 | http://www.wikidata.org/entity/Q2383811 | cs-CZ:Kancelářské potřeby | da-DK:Kontorforsyning | de-CH:Bürobedarf | de-DE:Bürobedarf | en-AU:Office Supplies | en-GB:Office Supplies | en-US:Office Supplies | es-ES:Material de oficina | fr-CH:Fournitures de bureau | fr-FR:Fournitures de bureau | it-IT:Forniture per ufficio | ja-JP:オフィス用品 | nl-NL:Kantoorartikelen | no-NO:Kontorrekvisita | pl-PL:Artykuły biurowe | pt-BR:Materiais de escritório | ru-RU:Канцелярские товары | sv-SE:Kontorsmaterial | tr-TR:Büro Malzemeleri
988 | 1 | http://www.wikidata.org/entity/Q768186 | cs-CZ:Sportovní potřeby | da-DK:Sportsartikler | de-CH:Sportartikel | de-DE:Sportartikel | en-AU:Sporting Goods | en-GB:Sporting Goods | en-US:Sporting Goods | es-ES:Equipamiento deportivo | fr-CH:Équipements sportifs | fr-FR:Équipements sportifs | it-IT:Articoli sportivi | ja-JP:スポーツ用品 | nl-NL:Sportartikelen | no-NO:Sportsutstyr | pl-PL:Sprzęt sportowy | pt-BR:Artigos esportivos | ru-RU:Спортивные товары | sv-SE:Sportartiklar | tr-TR:Spor Malzemeleri
1239 | 1 | http://www.wikidata.org/entity/Q21550927 | cs-CZ:Hračky a hry | da-DK:Legetøj og spil | de-CH:Spielzeuge & Spiele | de-DE:Spielzeuge & Spiele | en-AU:Toys & Games | en-GB:Toys & Games | en-US:Toys & Games | es-ES:Juegos y juguetes | fr-CH:Jeux et jouets | fr-FR:Jeux et jouets | it-IT:Giochi e giocattoli | ja-JP:おもちゃ・ゲーム | nl-NL:Speelgoed en spellen | no-NO:Leker og spill | pl-PL:Gry i zabawki | pt-BR:Brinquedos e jogos | ru-RU:Игры и игрушки | sv-SE:Leksaker och spel | tr-TR:Oyuncaklar ve Oyunlar
2092 | 1 | http://www.wikidata.org/entity/Q7397 | cs-CZ:Software | da-DK:Software | de-CH:Software | de-DE:Software | en-AU:Software | en-GB:Software | en-US:Software | es-ES:Software | fr-CH:Logiciels | fr-FR:Logiciels | it-IT:Software | ja-JP:ソフトウェア | nl-NL:Software | no-NO:Programvare | pl-PL:Oprogramowanie | pt-BR:Software | ru-RU:Программное обеспечение | sv-SE:Programvara | tr-TR:Yazılım
5181 | 1 | http://www.wikidata.org/entity/Q4466023 | cs-CZ:Tašky a zavazadla | da-DK:Kufferter og tasker | de-CH:Taschen & Gepäck | de-DE:Taschen & Gepäck | en-AU:Luggage & Bags | en-GB:Luggage & Bags | en-US:Luggage & Bags | es-ES:Maletas y bolsos de viaje | fr-CH:Bagages et maroquinerie | fr-FR:Bagages et maroquinerie | it-IT:Bagagli e borse | ja-JP:旅行用かばん・バッグ | nl-NL:Bagage en tassen | no-NO:Bagasje og vesker | pl-PL:Torby, walizki i akcesoria podróżne | pt-BR:Malas e bolsas | ru-RU:Багаж и сумки | sv-SE:Resväskor och väskor | tr-TR:Bavullar ve Çantalar
5605 | 1 | http://www.wikidata.org/entity/Q115921911 | cs-CZ:Náboženské a obřadní zboží | da-DK:Religiøst og ceremonielt | de-CH:Religion & Feierlichkeiten | de-DE:Religion & Feierlichkeiten | en-AU:Religious & Ceremonial | en-GB:Religious & Ceremonial | en-US:Religious & Ceremonial | es-ES:Elementos religiosos y ceremoniales | fr-CH:Offices religieux et cérémonies | fr-FR:Offices religieux et cérémonies | it-IT:Articoli religiosi e per cerimonie | ja-JP:冠婚葬祭・宗教 | nl-NL:Religieus en ceremonieel | no-NO:Religiøst og seremonielt | pl-PL:Artykuły religijne i dewocjonalia | pt-BR:Material para cerimônias e eventos religiosos | ru-RU:Товары для церемоний и религиозных обрядов | sv-SE:Religion och ceremonier | tr-TR:Din ve Törenler
